Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.01      0.04     0.04        1    40.00    40.00  test_high_perfermance()
  0.00      0.04     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.04     0.00       16     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.04     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.04     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.04     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.04     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.04     0.00        6     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.04     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.04     0.00        5     0.00     0.00  func5(int)
  0.00      0.04     0.00        5     0.00     0.00  base_test3()::{lambda(int)#1}::operator()(int) const
  0.00      0.04     0.00        4     0.00     0.00  void print<int>(int const&)
  0.00      0.04     0.00        4     0.00     0.00  void print<unsigned long>(unsigned long const&)
  0.00      0.04     0.00        4     0.00     0.00  void print<unsigned long, unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.04     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.04     0.00        4     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.04     0.00        4     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.04     0.00        4     0.00     0.00  int const* std::__miter_base<int const*>(int const*)
  0.00      0.04     0.00        4     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      0.04     0.00        3     0.00     0.00  double Max<double>(double, double)
  0.00      0.04     0.00        3     0.00     0.00  func6(int, int)
  0.00      0.04     0.00        3     0.00     0.00  void print<int, int>(int const&, int const&)
  0.00      0.04     0.00        3     0.00     0.00  void print<int, int, int>(int const&, int const&, int const&)
  0.00      0.04     0.00        3     0.00     0.00  void print<unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.04     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.04     0.00        3     0.00     0.00  base_test5()::{lambda(int)#1}::operator()(int) const
  0.00      0.04     0.00        2     0.00     0.00  Max(int, int)
  0.00      0.04     0.00        2     0.00     0.00  func9(int, void (*)(int))
  0.00      0.04     0.00        2     0.00     0.00  void print<unsigned long, unsigned long, unsigned long, unsigned long>(unsigned long const&, unsigned long const&, unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        2     0.00     0.00  func11(int)
  0.00      0.04     0.00        2     0.00     0.00  void func12<int>(int&&)
  0.00      0.04     0.00        2     0.00     0.00  func13(int&&)
  0.00      0.04     0.00        2     0.00     0.00  func20(std::vector<int, std::allocator<int> >&, int)
  0.00      0.04     0.00        2     0.00     0.00  print_var(char const*, ...)
  0.00      0.04     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.04     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.04     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.04     0.00        2     0.00     0.00  std::initializer_list<int>::end() const
  0.00      0.04     0.00        2     0.00     0.00  std::initializer_list<int>::size() const
  0.00      0.04     0.00        2     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.04     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.04     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00      0.04     0.00        2     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00      0.04     0.00        2     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        2     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.04     0.00        2     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.04     0.00        2     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.04     0.00        2     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.04     0.00        2     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z13test_templatev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z21test_high_perfermancev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5fork1v
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5func1Ri
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5main2v
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9main_triev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9test_autov
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9test_forkv
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7MyClassC2Ev
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZlsRSoRK6OpCls2
  0.00      0.04     0.00        1     0.00     0.00  base_test2()
  0.00      0.04     0.00        1     0.00     0.00  base_test3()
  0.00      0.04     0.00        1     0.00     0.00  base_test4()
  0.00      0.04     0.00        1     0.00     0.00  base_test5()
